,tweet_id,favorites,retweets
0,892420643555336193,39097,8695
1,892177421306343426,33487,6383
2,891815181378084864,25236,4241
3,891689557279858688,42468,8795
4,891327558926688256,40622,9576
5,891087950875897856,20377,3178
6,890971913173991426,11943,2115
7,890729181411237888,66063,19274
8,890609185150312448,27977,4339
9,890240255349198849,32194,7566
10,890006608113172480,30862,7473
11,889880896479866881,27994,5058
12,889665388333682689,48353,10255
13,889638837579907072,27382,4632
14,889531135344209921,15212,2272
15,889278841981685760,25484,5545
16,888917238123831296,29306,4593
17,888804989199671297,25789,4445
18,888554962724278272,20080,3667
19,888078434458587136,21942,3584
20,887705289381826560,30423,5502
21,887517139158093824,46563,11885
22,887473957103951883,69668,18594
23,887343217045368832,33928,10594
24,887101392804085760,30788,6074
25,886983233522544640,35469,7922
26,886736880519319552,12179,3364
27,886680336477933568,22600,4551
28,886366144734445568,21284,3248
29,886267009285017600,117,4
30,886258384151887873,28190,6408
31,886054160059072513,0,105
32,885984800019947520,32978,6939
33,885528943205470208,36274,6559
34,885518971528720385,20575,3836
35,885311592912609280,0,18927
36,885167619883638784,22113,4458
37,884925521741709313,78183,18877
38,884876753390489601,28171,5963
39,884562892145688576,24498,5019
40,884441805382717440,27201,5766
41,884247878851493888,73555,20805
42,884162670584377345,20535,3046
43,883838122936631299,22072,3517
44,883482846933004288,46327,10180
45,883360690899218434,22728,3760
46,883117836046086144,37521,6803
47,882992080364220416,24137,4020
48,882762694511734784,28549,5014
49,882627270321602560,28096,6208
50,882268110199369728,45314,11830
51,882045870035918850,29585,5085
52,881906580714921986,24478,3454
53,881666595344535552,50965,10905
54,881633300179243008,129,7
55,881536004380872706,49832,16295
56,881268444196462592,23242,5249
57,880935762899988482,17137,2836
58,880872448815771648,21470,3907
59,880465832366813184,28749,6410
60,880221127280381952,27310,4327
61,880095782870896641,27832,4444
62,879862464715927552,22461,3572
63,879674319642796034,314,10
64,879492040517615616,23583,3255
65,879415818425184262,106749,45089
66,879376492567855104,16894,3177
67,879130579576475649,0,7014
68,879050749262655488,22774,4826
69,879008229531029506,19101,2748
70,878776093423087618,19534,4224
71,878604707211726852,30533,7412
72,878404777348136964,0,1324
73,878316110768087041,0,6817
74,878281511006478336,7830,1324
75,878057613040115712,42387,7014
76,877736472329191424,80704,19647
77,877611172832227328,0,82
78,877556246731214848,22995,3914
79,877316821321428993,27593,5311
80,877201837425926144,27379,5727
81,876838120628539392,20867,3447
82,876537666061221889,23604,4711
83,876484053909872640,18936,2466
84,876120275196170240,28152,4804
85,875747767867523072,25438,4402
86,875144289856114688,22115,5043
87,875097192612077568,27653,6207
88,875021211251597312,25728,4818
89,874680097055178752,28132,4763
90,874434818259525634,0,15192
91,874296783580663808,26320,4231
92,874057562936811520,22871,4059
93,874012996292530176,35060,10761
94,873580283840344065,24511,4048
95,873337748698140672,0,1634
96,873213775632977920,7359,1634
97,872967104147763200,27699,5560
98,872820683541237760,14873,3808
99,872668790621863937,0,30
100,872620804844003328,21043,3823
101,872486979161796608,41095,9253
102,872261713294495745,34669,6526
103,872122724285648897,34889,8376
104,871879754684805121,38590,11617
105,871762521631449091,20535,3588
106,871515927908634625,20500,3558
107,871166179821445120,0,5881
108,871102520638267392,21205,5661
109,871032628920680449,22988,3923
